name,lat,lon,type,id,amenity,shop,tourism
"Cumhuriyet Fırını","39.9575254","32.7004355","node","29474203","restaurant","bakery",""
"Konyalı Kebap","39.9038863","32.8137266","node","60166115","restaurant","",""
"Quick China","39.8715794","32.6820882","node","60580757","restaurant","",""
"İncek Sofrası","39.8113785","32.7101463","node","60580767","restaurant","",""
"Karacaoğlu","39.8132025","32.7127677","node","60580768","restaurant","",""
"Mantar","39.8791119","32.8608287","node","60580779","restaurant","",""
"Hill Fırın","39.8847896","32.8522128","node","60580784","","bakery",""
"Beykoz","39.884752","32.8534031","node","60581036","restaurant","",""
"Çorbacı Hasan Usta","39.8852694","32.8545145","node","60581240","restaurant","technology",""
"Tadım Pizza","39.8947605","32.8499683","node","60582717","fast_food","",""
"Saklıbahçe","39.9148117","32.8044537","node","60582754","restaurant","",""
"Quick China","39.8959322","32.8780299","node","60582768","restaurant","",""
"Liva","39.9318643","32.8255812","node","62673818","","pastry",""
"Mado","39.9027817","32.860248","node","62673925","cafe","patisserie",""
"Liman Restoran","39.8929116","32.8560433","node","62674002","restaurant","",""
"C'ViZ","39.8915594","32.8711121","node","62674094","cafe","",""
"Akalın","39.7939743","32.7938475","node","75291604","restaurant","",""
"Beykoz","39.7915947","32.7943692","node","75291610","restaurant","",""
"Schnitzel","39.902","32.8634237","node","75324333","restaurant","",""
"Yıldız Aspava","39.9064547","32.8666234","node","75324389","restaurant","",""
"Uludağ Döner","39.8953734","32.8664112","node","75343319","restaurant","",""
"Gar Lokantası","39.8975795","32.8716825","node","75343386","restaurant","",""
"Chocolatier d'Orient","39.8938389","32.8767339","node","75343404","","pastry",""
"Crossroads Pub","39.8840651","32.8545922","node","75343439","pub","",""
"Karadeniz Kıyak Balıkçısı","39.8734855","32.8659259","node","75343511","restaurant","",""
"Domino's","39.893552","32.8763696","node","83559452","fast_food","",""
"Göksu Restoran","39.9216819","32.8570773","node","93807632","restaurant","",""
"Cafe des Cafes","39.9066216","32.8612044","node","93807636","cafe","",""
"Halk Ekmek","39.9226673","32.870808","node","93980558","","bakery",""
"Halk Ekmek","39.919056","32.8760354","node","93980564","","bakery",""
"Halk Ekmek","39.9108891","32.8786157","node","93980569","","bakery",""
"Cumhuriyet Fırını","39.910682","32.8828802","node","93980577","","bakery",""
"Halk Ekmek","39.9122559","32.8705691","node","93980619","","bakery",""
"Mado","39.8964973","32.7045638","node","93996232","cafe","",""
"Çıtır Simit","39.8963944","32.7045148","node","93996234","","bakery",""
"Samsun Pide Evi","39.9092841","32.8609497","node","93996237","restaurant","",""
"Trilye Restoran","39.8940454","32.8718349","node","112585692","restaurant","",""
"Acıktım","39.8851776","32.8557927","node","112607131","fast_food","",""
"Lal Cafe","39.8978381","32.7057047","node","112648294","cafe","",""
"Liva","39.8968768","32.7048764","node","112648429","cafe","",""
"Balıkçıköy","39.8967995","32.7048309","node","112648435","restaurant","",""
"Aslı Börek","39.8962397","32.7043433","node","112648479","fast_food","",""
"Şanlı Edessa Kebap","39.8962191","32.7043402","node","112648496","restaurant","",""
"Amarillo","39.8927543","32.8695777","node","122487904","restaurant","",""
"Simit Center","39.9038754","32.8611345","node","122537018","fast_food","",""
"Peperoncino","39.8935759","32.876994","node","122563664","restaurant","",""
"Dem","39.8840155","32.8541989","node","122563753","restaurant","",""
"Yelken Balık Evi","39.8840313","32.854399","node","122563761","restaurant","",""
"Tepebağ","39.8851471","32.857218","node","143822701","restaurant","",""
"Özlem Döner","39.8711047","32.8590035","node","148943638","restaurant","",""
"Kafe's","39.9091774","32.7896872","node","149002857","cafe","",""
"Riff","39.9092082","32.858754","node","247191351","pub","",""
"Bolulu Hasan Usta","39.9066378","32.8609512","node","247208555","cafe","patisserie",""
"Vitamin","39.906043","32.8606989","node","247208699","fast_food","",""
"Lezita","39.9058308","32.8606234","node","247208707","fast_food","",""
"Birlik","39.9051202","32.8604523","node","247208748","fast_food","juice",""
"Altınnal Meyhane","39.8911796","32.8560452","node","247208815","restaurant","",""
"Bursa İnegöl Köftecisi","39.8889222","32.8548522","node","247208856","restaurant","",""
"Beyaz Et","39.8847545","32.8530158","node","247617779","fast_food","",""
"Dedem Sandwich","39.8847633","32.8528833","node","247617782","fast_food","",""
"Fige","39.8853055","32.8570084","node","247618857","restaurant","",""
"Gelidonya Feneri","39.8845806","32.856267","node","247618858","restaurant","",""
"Halil İbo Tandir ve Etli Ekmek","39.9287943","32.8198037","node","283714260","restaurant","",""
"ODTÜ Bağ Evi","39.8302859","32.8272287","node","288157635","restaurant","",""
"Sushico | Chinese in Town","39.848683","32.8337323","node","288787025","restaurant","",""
"Dafne","39.8937627","32.8510889","node","293696500","restaurant","",""
"Domino's","39.8950955","32.8500418","node","305073907","fast_food","",""
"KavClub","40.0761154","33.0204851","node","305995305","restaurant","",""
"Kafeterya","39.8934801","32.7840236","node","308826436","restaurant","",""
"Limanlı Bahçe","39.9276879","32.8266997","node","309887997","restaurant","",""
"Coffee Lab","39.9061676","32.8607376","node","309888017","cafe","",""
"Yılmaz Konya Tandır","39.5733218","32.1220609","node","309903617","restaurant","",""
"Sofram Anteplim","39.5738129","32.1227829","node","309903618","restaurant","",""
"Mocaco","39.9312266","32.8260134","node","309903643","cafe","",""
"Aslı Börek","39.9309642","32.8260307","node","309903646","restaurant","",""
"Noma","39.9288091","32.8260974","node","309903648","restaurant","",""
"Burger King","39.9324318","32.8292508","node","309903658","fast_food","",""
"Geyik Kafe","39.9304441","32.8637707","node","309903668","restaurant","",""
"Tarihi Karacabey Hamamı","39.9337282","32.8661949","node","309903670","","","attraction"
"Domino's","39.8849336","32.7632613","node","310043489","fast_food","",""
"Burger King","39.8819104","32.756904","node","310048117","fast_food","",""
"Koç Aspava","39.9025717","32.8496325","node","310402858","restaurant","",""
"Cafemiz","39.8979214","32.8657829","node","310402861","cafe","",""
"Minna's Hot Spot Bistro","39.8976","32.8664221","node","310402862","restaurant","",""
"Çin Seddi Restaurant","39.8864256","32.8476566","node","310402868","restaurant","",""
"Nefiss Döner","39.8717621","32.8593778","node","310403031","fast_food","",""
"Balık Pişirme Evi","39.8722337","32.8595254","node","310403033","restaurant","",""
"Faros","39.8717048","32.6815668","node","311046519","restaurant","",""
"Cambo İskender & Kebap","39.8751919","32.8605146","node","312788027","restaurant","",""
"bi' çorba","39.8677719","32.8575002","node","312788040","restaurant","",""
"Meandros","39.8949979","32.8720815","node","321680862","restaurant","",""
"Gaga Manjero","39.8983974","32.8698606","node","321719294","restaurant","",""
"Güler Yufka & Kadayıf","39.8836611","32.8544109","node","329207278","","bakery",""
"McDonald's","39.89417","32.6794717","node","403041827","fast_food","",""
"North Shield","39.8938418","32.6798575","node","403041831","pub","",""
"Salata Mesa","39.893934","32.6797452","node","403041838","bar","",""
"Kavurmalı Pide ve Kebap Salonu","39.8531702","32.8489255","node","455033413","restaurant","",""
"Domino's","39.8937981","32.8036842","node","501600068","fast_food","",""
"Arjantin","39.8937757","32.8032637","node","501600080","restaurant","",""
"Sunshine","39.8898332","32.7906931","node","501705626","cafe","",""
"Çatı","39.8894217","32.7914685","node","501705632","restaurant","",""
"Bizim Kantin","39.8945711","32.7823488","node","501820006","fast_food","",""
"Tarihi Çiçek Lokantası","39.8985081","32.8172104","node","529107605","restaurant","",""
"Kamara Coffee & Community","39.9053521","32.853039","node","529107622","cafe","",""
"Little Caesars","39.8867188","32.8479937","node","592346564","fast_food","",""
"Fevzi Usta","39.8994592","32.8691847","node","599203831","restaurant","",""
"Devrez","39.9052562","32.8683922","node","600501148","restaurant","",""
"Tantunici","39.87554","32.861151","node","600505327","restaurant","",""
"Göksu Lokantası","39.9045932","32.8676821","node","601091218","restaurant","",""
"Uptown","39.8941238","32.786478","node","664127092","bar","",""
"Butikek","39.9568922","32.7032936","node","667398826","cafe","",""
"Gözlemeci","39.855062","32.73046","node","673611355","fast_food","",""
"Num Num","39.8476869","32.8317163","node","707062701","restaurant","",""
"Maydanoz Döner","39.8918156","32.7889712","node","715454932","fast_food","",""
"Kebap Evi","39.940432","32.789284","node","716754376","fast_food","",""
"Samir Cafe","39.776933","32.789124","node","717333999","restaurant","",""
"Balıkçı","39.892221","32.7885595","node","718505717","fast_food","",""
"Cook Shop","39.901251","32.6915232","node","736514477","restaurant","",""
"ÖDTÜ Kayıkhane Restoranı","39.822412","32.831017","node","771145616","restaurant","",""
"Köroğlu İşkembecisi","39.896921","32.8807502","node","813136269","restaurant","",""
"Köroğlu Aspava","39.8958582","32.8786313","node","813189533","restaurant","",""
"Meşhur Adıyaman Çiğ Köftecisi","39.896444","32.8792766","node","813193179","fast_food","",""
"Öz Emmioğlu Pide Kebap","39.8969786","32.8801143","node","813193188","restaurant","",""
"Evim Ev Yemekleri","39.8944893","32.8772279","node","816745455","restaurant","",""
"Köroğlu Simit Evi","39.8964098","32.8799333","node","818880585","","bakery",""
"Uludağ Kebapçısı","39.9344942","32.8572277","node","824237315","restaurant","",""
"Çiftlik Merkez Lokantası","39.9372027","32.7976644","node","824318375","restaurant","",""
"FundaClassy","39.8922291","32.8716369","node","824325202","","bakery",""
"Uludağ","39.8480774","32.8320327","node","824367601","restaurant","",""
"Tribeca","39.8482152","32.8323899","node","824367603","cafe","",""
"Branca","39.8481477","32.832222","node","824367608","restaurant","",""
"Starbucks","39.8482915","32.8325788","node","824367612","cafe","",""
"Midpoint","39.8484246","32.832969","node","824367614","restaurant","",""
"Gloria Jean's","39.8485969","32.8334941","node","824367624","cafe","",""
"EOS Restaurant & Bar","39.890804","32.8745599","node","828617472","restaurant","",""
"Ehlikeyf","39.9043507","32.8096281","node","851522422","restaurant","",""
"Liva","39.904864","32.809253","node","851528942","restaurant","",""
"Mado","39.9042786","32.8090867","node","851580247","cafe","",""
